datetime,id,output_kW
2024-09-29 23:00:00+00:00,WT2,663.0846977233887
2024-09-30 00:00:00+00:00,WT2,723.3762741088867
2024-09-30 01:00:00+00:00,WT2,993.9943313598633
2024-09-30 02:00:00+00:00,WT2,1467.1512603759766
2024-09-30 03:00:00+00:00,WT2,1765.6705220540364
2024-09-30 04:00:00+00:00,WT2,1938.7545267740886
2024-09-30 05:00:00+00:00,WT2,2028.3322525024414
2024-09-30 06:00:00+00:00,WT2,2091.161231994629
2024-09-30 07:00:00+00:00,WT2,2181.1995697021484
2024-09-30 08:00:00+00:00,WT2,2268.9468002319336
2024-09-30 09:00:00+00:00,WT2,2300.0
2024-09-30 10:00:00+00:00,WT2,2300.0
2024-09-30 11:00:00+00:00,WT2,2300.0
2024-09-30 12:00:00+00:00,WT2,2300.0
2024-09-30 13:00:00+00:00,WT2,2300.0
2024-09-30 14:00:00+00:00,WT2,2300.0
2024-09-30 15:00:00+00:00,WT2,2300.0
2024-09-30 16:00:00+00:00,WT2,2300.0
2024-09-30 17:00:00+00:00,WT2,2300.0
2024-09-30 18:00:00+00:00,WT2,2300.0
2024-09-30 19:00:00+00:00,WT2,2300.0
2024-09-30 20:00:00+00:00,WT2,2300.0
2024-09-30 21:00:00+00:00,WT2,2251.6334915161133
2024-09-30 22:00:00+00:00,WT2,2196.4696502685547
2024-09-30 23:00:00+00:00,WT2,2127.430877685547
2024-10-01 00:00:00+00:00,WT2,2063.8034439086914
2024-10-01 01:00:00+00:00,WT2,1985.174560546875
2024-10-01 02:00:00+00:00,WT2,1847.8096008300781
2024-10-01 03:00:00+00:00,WT2,1774.2197672526042
2024-10-01 04:00:00+00:00,WT2,1879.3362935384114
2024-10-01 05:00:00+00:00,WT2,2048.7367248535156
2024-10-01 06:00:00+00:00,WT2,2124.243812561035
2024-10-01 07:00:00+00:00,WT2,2020.1910400390625
2024-10-01 08:00:00+00:00,WT2,2300.0
2024-10-01 09:00:00+00:00,WT2,2300.0
2024-10-01 10:00:00+00:00,WT2,2300.0
2024-10-01 11:00:00+00:00,WT2,2300.0
2024-10-01 12:00:00+00:00,WT2,2300.0
2024-10-01 13:00:00+00:00,WT2,2300.0
2024-10-01 14:00:00+00:00,WT2,2300.0
2024-10-01 15:00:00+00:00,WT2,2300.0
2024-10-01 16:00:00+00:00,WT2,2300.0
2024-10-01 17:00:00+00:00,WT2,2300.0
2024-10-01 18:00:00+00:00,WT2,2300.0
2024-10-01 19:00:00+00:00,WT2,2300.0
2024-10-01 20:00:00+00:00,WT2,2300.0
2024-10-01 21:00:00+00:00,WT2,2300.0
2024-10-01 22:00:00+00:00,WT2,2300.0
2024-10-01 23:00:00+00:00,WT2,2300.0
2024-10-02 00:00:00+00:00,WT2,2300.0
2024-10-02 01:00:00+00:00,WT2,2300.0
2024-10-02 02:00:00+00:00,WT2,2300.0
2024-10-02 03:00:00+00:00,WT2,2300.0
2024-10-02 04:00:00+00:00,WT2,2300.0
2024-10-02 05:00:00+00:00,WT2,2300.0
2024-10-02 06:00:00+00:00,WT2,2300.0
2024-10-02 07:00:00+00:00,WT2,2300.0
2024-10-02 08:00:00+00:00,WT2,2300.0
2024-10-02 09:00:00+00:00,WT2,2300.0
2024-10-02 10:00:00+00:00,WT2,2300.0
2024-10-02 11:00:00+00:00,WT2,2300.0
2024-10-02 12:00:00+00:00,WT2,2300.0
2024-10-02 13:00:00+00:00,WT2,2300.0
2024-10-02 14:00:00+00:00,WT2,2300.0
2024-10-02 15:00:00+00:00,WT2,2300.0
2024-10-02 16:00:00+00:00,WT2,2300.0
2024-10-02 17:00:00+00:00,WT2,2300.0
2024-10-02 18:00:00+00:00,WT2,2273.607292175293
2024-10-02 19:00:00+00:00,WT2,2201.9198989868164
2024-10-02 20:00:00+00:00,WT2,2118.24893951416
2024-10-02 21:00:00+00:00,WT2,2021.9628143310547
2024-10-02 22:00:00+00:00,WT2,1866.6666666666667
2024-10-02 23:00:00+00:00,WT2,1682.1759541829426
2024-09-26 00:00:00+00:00,WT3,209.7524642944336
2024-09-26 01:00:00+00:00,WT3,369.27318572998047
2024-09-26 02:00:00+00:00,WT3,200.0
2024-09-26 03:00:00+00:00,WT3,757.2577476501465
2024-09-26 04:00:00+00:00,WT3,1655.5318196614583
2024-09-26 05:00:00+00:00,WT3,1994.2975362141926
2024-09-26 06:00:00+00:00,WT3,1994.2975362141926
2024-09-26 07:00:00+00:00,WT3,1920.4984029134114
2024-09-26 08:00:00+00:00,WT3,1787.8430684407551
2024-09-26 09:00:00+00:00,WT3,2118.5993576049805
2024-09-26 10:00:00+00:00,WT3,2175.433006286621
2024-09-26 11:00:00+00:00,WT3,2127.182083129883
2024-09-26 12:00:00+00:00,WT3,2094.0156173706055
2024-09-26 13:00:00+00:00,WT3,2028.545913696289
2024-09-26 14:00:00+00:00,WT3,2001.6353607177734
2024-09-26 15:00:00+00:00,WT3,2043.7830352783203
2024-09-26 16:00:00+00:00,WT3,2096.8133544921875
2024-09-26 17:00:00+00:00,WT3,2110.7704544067383
2024-09-26 18:00:00+00:00,WT3,2264.045524597168
2024-09-26 19:00:00+00:00,WT3,2232.5051498413086
2024-09-26 20:00:00+00:00,WT3,2251.0837173461914
2024-09-26 21:00:00+00:00,WT3,2250.487823486328
2024-09-26 22:00:00+00:00,WT3,2280.9997177124023
2024-09-26 23:00:00+00:00,WT3,2118.24893951416
2024-09-27 00:00:00+00:00,WT3,2175.5775451660156
2024-09-27 01:00:00+00:00,WT3,2295.415725708008
